"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bent Over Row (Dumbbell)",,"",2,"normal",30,12,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Squat (Barbell)",,"",0,"normal",209.99,8,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Squat (Barbell)",,"",1,"normal",209.99,8,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Squat (Barbell)",,"",2,"normal",205.01,8,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Bench Press (Barbell)",,"",0,"normal",120,8,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Bench Press (Barbell)",,"",1,"normal",120,8,,,
"Push Day!","13 May 2026, 12:51","13 May 2026, 13:52","","Bench Press (Barbell)",,"",2,"normal",120,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Deadlift (Barbell)",,"",0,"normal",245,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Deadlift (Barbell)",,"",1,"normal",245,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Deadlift (Barbell)",,"",2,"normal",245,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Overhead Press (Barbell)",,"",0,"normal",75,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Overhead Press (Barbell)",,"",1,"normal",75,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Overhead Press (Barbell)",,"",2,"normal",77.01,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Romanian Deadlift (Dumbbell)",,"",0,"normal",123.46,12,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Romanian Deadlift (Dumbbell)",,"",1,"normal",123.46,12,,,
